run_id,requirement_id,principle,source_row,requirement,condition,configuration,repetition,model,started_at,elapsed_seconds,initial_title,initial_description,initial_work_items,final_title,final_description,final_work_items,revision_occurred,status,review_reason,internal_clarity,internal_completeness,internal_actionability,internal_testability,internal_faithfulness,api_response_ids,saved_run_path
ABL-J02__same_model_single_pass__2,ABL-J02,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:08:51.397899+00:00,2.729,Cross-Browser Web Accessibility,"As a user, I want to use the Web interface through major Web browsers in a wide variety of environments so that I can access the system regardless of my browsing setup.","[""The Web interface shall be compatible with Web standards."", ""The Web interface shall be usable via all major Web browsers in a wide variety of environments.""]",Cross-Browser Web Accessibility,"As a user, I want to use the Web interface through major Web browsers in a wide variety of environments so that I can access the system regardless of my browsing setup.","[""The Web interface shall be compatible with Web standards."", ""The Web interface shall be usable via all major Web browsers in a wide variety of environments.""]",False,not_validated,,,,,,,"[""resp_001259f48a7bd660006aa72d04041487d2925dc04336d7a924""]",outputs/runs/20260913T230854Z_ABL-J02_single_pass.json
ABL-F02__same_model_single_pass__1,ABL-F02,Freedom & Autonomy,858,The system shall allow user to update the profile information.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:08:54.127681+00:00,1.405,Profile Information Updates,"As a user, I want to update my profile information so that I can keep it current.","[""The system shall allow users to update their profile information.""]",Profile Information Updates,"As a user, I want to update my profile information so that I can keep it current.","[""The system shall allow users to update their profile information.""]",False,not_validated,,,,,,,"[""resp_0e790b4a48ed9b51006aa72d06491487d2a0945dcb9337c753""]",outputs/runs/20260913T230855Z_ABL-F02_single_pass.json
ABL-F01__eai_usg__1,ABL-F01,Freedom & Autonomy,824,The system shall allow the user to change the password.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:08:55.533934+00:00,29.950,Password Change Capability,"As a user, I want to change my password so that I can maintain access to my account.","[""The system shall allow users to change their passwords.""]",Password Change Capability,"As a user, I want to change my password so that I can use a new password.","[""The system shall allow users to change their passwords.""]",True,requires_human_review,unresolved_quality_issue,4,3,4,4,5,"[""resp_0c425698250bf586006aa72d07b08487d2a559304548c21a71"", ""resp_0f406dd38e6e7afb006aa72d0aabe487d2aa02273a88edea54"", ""resp_0199af9e5f17fa9d006aa72d0c3dd887d2aece4540fa1188b7"", ""resp_0f090d5463810bfb006aa72d16b01087d2a8bf88e825885744"", ""resp_01804b7185943e2f006aa72d1ad52c87d2a476c3e4e7e18a2e""]",outputs/runs/20260913T230925Z_ABL-F01_full.json
ABL-J03__same_model_single_pass__3,ABL-J03,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:09:25.485401+00:00,2.077,Emerging Market Language Support,"As a user in an emerging target market, I want the product to be available in my market's language so that I can use it in that language.","[""Future releases shall provide translations into foreign languages other than those of the initial target-market countries."", ""For each emerging target market, the product shall be configurable for that market's language within no more than five days.""]",Emerging Market Language Support,"As a user in an emerging target market, I want the product to be available in my market's language so that I can use it in that language.","[""Future releases shall provide translations into foreign languages other than those of the initial target-market countries."", ""For each emerging target market, the product shall be configurable for that market's language within no more than five days.""]",False,not_validated,,,,,,,"[""resp_08de31d39dfacd33006aa72d25a91c87d2989a4a7dc09a309f""]",outputs/runs/20260913T230927Z_ABL-J03_single_pass.json
ABL-F01__same_model_single_pass__3,ABL-F01,Freedom & Autonomy,824,The system shall allow the user to change the password.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:09:27.563310+00:00,2.158,Password Change,"As a user, I want to change my password so that I can maintain access to my account.","[""The system shall allow the user to change their password.""]",Password Change,"As a user, I want to change my password so that I can maintain access to my account.","[""The system shall allow the user to change their password.""]",False,not_validated,,,,,,,"[""resp_0f646ee9d724a25b006aa72d27e02c87d2b389f00c690f5b14""]",outputs/runs/20260913T230929Z_ABL-F01_single_pass.json
ABL-T02__same_model_single_pass__3,ABL-T02,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:09:29.722453+00:00,1.620,Message Sent Timestamp,"As a user, I want each message to show when it was sent so that I can determine its timing.","[""Display a sent date/timestamp for each message."", ""Embed the sent date/timestamp in each message.""]",Message Sent Timestamp,"As a user, I want each message to show when it was sent so that I can determine its timing.","[""Display a sent date/timestamp for each message."", ""Embed the sent date/timestamp in each message.""]",False,not_validated,,,,,,,"[""resp_0b735d4a9bbc5cf9006aa72d29e63887d2856234ecb07d031d""]",outputs/runs/20260913T230931Z_ABL-T02_single_pass.json
ABL-P01__same_model_single_pass__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:09:31.343758+00:00,1.494,Protection of Player Identity,"As a player, I want other players' identity-revealing information to be inaccessible so that I can participate without being identified by them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",Protection of Player Identity,"As a player, I want other players' identity-revealing information to be inaccessible so that I can participate without being identified by them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",False,not_validated,,,,,,,"[""resp_0e71f107f0b4fd00006aa72d2b825087d29fa19bf4d299f550""]",outputs/runs/20260913T230932Z_ABL-P01_single_pass.json
ABL-T03__same_model_single_pass__3,ABL-T03,Transparency,1044,Documentation and logs of data sources for Traceability.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:09:32.838841+00:00,1.655,Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace the provenance of data.","[""Provide documentation of data sources."", ""Maintain logs of data sources.""]",Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace the provenance of data.","[""Provide documentation of data sources."", ""Maintain logs of data sources.""]",False,not_validated,,,,,,,"[""resp_03cdfa15bbc45b7c006aa72d2d037087d29ada03cccf282d2c""]",outputs/runs/20260913T230934Z_ABL-T03_single_pass.json
ABL-P03__same_model_single_pass__3,ABL-P03,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:09:34.532239+00:00,2.421,Privacy-Compliant Data Access,"As a user, I want my data handled in accordance with data privacy regulations so that my privacy is protected.","[""The system shall comply with applicable data privacy regulations."", ""The system shall grant access to data only to relevant personnel.""]",Privacy-Compliant Data Access,"As a user, I want my data handled in accordance with data privacy regulations so that my privacy is protected.","[""The system shall comply with applicable data privacy regulations."", ""The system shall grant access to data only to relevant personnel.""]",False,not_validated,,,,,,,"[""resp_063137c1f802830b006aa72d2f0dfc87d294e52bfc9aaf164a""]",outputs/runs/20260913T230936Z_ABL-P03_single_pass.json
ABL-P01__eai_usg__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:09:36.954078+00:00,12.554,Player Identity Protection,"As a player, I want no access to information that might reveal another player's identity, so that I can participate without identifying other players.","[""The product shall not provide a player access to information that might reveal the identity of another player.""]",Player Identity Protection,"As a player, I want no access to information that might reveal another player's identity, so that I can participate without identifying other players.","[""The product shall not provide a player access to information that might reveal the identity of another player.""]",False,passed,,5,5,4,4,5,"[""resp_050c982c2ae5eee1006aa72d3120c887d2ae8ad50561806303"", ""resp_014d7974c3ff864a006aa72d35966487d283d97ceefec1151f"", ""resp_0f43a450a25ec6ec006aa72d37ad2c87d28ce85c8c44e1a5c5""]",outputs/runs/20260913T230949Z_ABL-P01_full.json
