artifact_id,run_id,requirement_id,principle,source_row,requirement,backend,model,repetition,title,description,work_items,checks_passed,clarity_e1,completeness_e1,actionability_e1,testability_e1,faithfulness_e1,clarity_e2,completeness_e2,actionability_e2,testability_e2,faithfulness_e2,clarity,completeness,actionability,testability,faithfulness,overall,overall_e1,overall_e2
A001,ABL-T03__openai__1,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",openai,gpt-5.6-terra,1,Service Integration Documentation,"As a service provider, I want documentation and specifications for joining the system, so that I can determine the permitted actions and applicable usage restrictions.","[""Provide process documentation and specifications for integrating a new service with the system."", ""Provide a list of actions that are acceptable for a newly integrated service."", ""Document any restrictions on data usage, bandwidth, and number of API queries.""]",True,5,5,5,5,5,5,5,4,3,5,5.0,5.0,4.5,4.0,5.0,4.7,5.0,4.4
A002,ABL-T03__google__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",google,gemini-3.8-flash,3,Service Onboarding Documentation and Operational Constraints,"As a service developer, I want process documentation and technical specifications for onboarding a new service, so that I can integrate the service in compliance with permitted actions and operational constraints.","[""Provide process documentation and technical specifications for new services joining the system."", ""Define the list of acceptable actions permitted for joining services."", ""Specify any applicable usage restrictions, including data usage, bandwidth limits, and API query limits.""]",True,5,5,5,5,5,5,5,4,3,5,5.0,5.0,4.5,4.0,5.0,4.7,5.0,4.4
A003,ABL-P02__anthropic__1,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,anthropic,claude-fable-5-1,1,Security of Registered User Data and Transactions,"As a registered user, I want my transactions and sensitive information to be secured by the website, so that my identity and personal data are protected from theft and misuse.","[""Provide the highest degree of security to registered users."", ""Secure all transactions made through the website."", ""Secure sensitive information transmitted to and from the website."", ""Address identity theft and other security-related issues."", ""Prevent unauthorized transmission of users' sensitive information to third-party websites."", ""Process user information only on the basis of the user agreement."", ""Store all registered user information securely in the central database.""]",True,5,5,5,4,5,5,5,4,3,5,5.0,5.0,4.5,3.5,5.0,4.6,4.8,4.4
A004,ABL-T02__anthropic__2,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,anthropic,claude-fable-5-1,2,Data Statements and Opt-Out Transparency,"As a user, I want data statements and descriptions of optional and mandatory system services to be available, so that I can distinguish which services I may opt out of and how to do so.","[""Data statements shall be made available to users."", ""Descriptions shall specify which services are optional and how users can opt out of them."", ""Descriptions shall identify which parts of the system are used by harbor officials and cannot be opted out of.""]",True,5,5,5,5,5,5,5,4,4,5,5.0,5.0,4.5,4.5,5.0,4.8,5.0,4.6
A005,ABL-F03__anthropic__1,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,anthropic,claude-fable-5-1,1,Session Persistence and Full Feature Availability,"As a registered user, I want my session to remain active during at least 60 minutes of inactivity before being prompted to log out, so that I can continue using the E-store without interruption.","[""The system shall preserve a registered user's session information for at least 60 minutes of inactivity before prompting the user to log out."", ""The system shall provide a registered user with all options of the E-store regardless of the time at which the user logs in.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A006,ABL-T01__openai__3,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,openai,gpt-5.6-terra,3,Communicate Data Policies and Request Handling,"As a user, I want the service's data information policy and the handling of large data requests to be communicated, so that I can understand how my data request will be managed.","[""Publish the data information policy on the service application or website."", ""Establish GDPR-compliance procedures and plan the required steps for requests involving large volumes of user data."", ""Clearly communicate any resource reallocation or waiting times associated with large user-data requests.""]",True,5,5,5,5,3,5,5,4,4,5,5.0,5.0,4.5,4.5,4.0,4.6,4.6,4.6
A007,ABL-J01__openai__1,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",openai,gpt-5.6-terra,1,Data Quality and Group Variance Testing,"As a user, I want the data to be tested across race, gender, and age groups before launch, so that I can assess whether outcomes vary significantly between groups.","[""Test data quality across race, gender, and age groups."", ""Ensure that variance between the tested groups is not significant."", ""Conduct real-time testing in the real-world context before launch.""]",True,5,5,5,4,5,5,5,4,3,5,5.0,5.0,4.5,3.5,5.0,4.6,4.8,4.4
A008,ABL-J02__google__2,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,google,gemini-3.8-flash,2,Special Needs Assistance and Aid Tracking,"As a user with special needs, I want the system to identify my assistance requirements and notify the terminal service provider, so that the required help can be provided.","[""Identify users with special needs."", ""Provide a feature to inform the terminal service provider of the required help."", ""Track special needs aids inside the terminal.""]",True,5,5,5,5,5,5,5,4,4,5,5.0,5.0,4.5,4.5,5.0,4.8,5.0,4.6
A009,ABL-T01__anthropic__3,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,anthropic,claude-fable-5-1,3,Communication of Data Information Policy and GDPR Procedures,"As a user, I want the service's data information policy to be communicated on the app or web page, so that I can review how the service handles data.","[""The data information policy is communicated on the service app or web page."", ""Procedures are in place for GDPR compliance."", ""Required steps are planned for handling exceptional situations such as a large volume of user data requests, for example redirection of resources."", ""Consequences for users, such as redirection of resources or waiting times, are clearly communicated.""]",True,4,5,5,5,5,4,5,4,4,4,4.0,5.0,4.5,4.5,4.5,4.5,4.8,4.2
A010,ABL-P02__anthropic__2,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,anthropic,claude-fable-5-1,2,Security of Registered User Information and Transactions,"As a registered user, I want the website to secure my transactions and sensitive information, so that my identity and personal data are protected from unauthorized access and disclosure.","[""The website shall provide the highest degree of security to registered users."", ""All transactions made through the website shall be secured."", ""Sensitive information transmitted to and from the website shall be secured."", ""Identity theft and other security-related issues shall be addressed."", ""Unauthorized transmission of users' sensitive information to third-party websites shall be prevented."", ""User information shall be processed only on the basis of the user agreement."", ""All information about registered users shall be securely stored in the central database.""]",True,5,5,5,4,5,5,5,4,3,5,5.0,5.0,4.5,3.5,5.0,4.6,4.8,4.4
A011,ABL-J03__openai__2,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,openai,gpt-5.6-terra,2,Culturally Inclusive Service Presentation,"As a website visitor, I want service pages to present an African feel through engaging animation so that I can attend to the services and be encouraged to sign up.","[""The website shall convey an African feel."", ""The website shall not alienate non-African visitors."", ""Pages describing services shall use animation to attract users' attention and encourage sign-up.""]",True,4,5,4,3,4,5,5,4,2,5,4.5,5.0,4.0,2.5,4.5,4.1,4.0,4.2
A012,ABL-J02__google__1,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,google,gemini-3.8-flash,1,Special Needs Assistance Identification and Aid Tracking,"As a user with special needs, I want the system to notify the terminal service provider of my required assistance, so that the provider is aware of the help I need.","[""Identify users who have special needs."", ""Provide functionality to notify the terminal service provider of the required assistance."", ""Provide tracking for special needs aids inside the terminal.""]",True,5,5,5,5,5,5,5,4,4,5,5.0,5.0,4.5,4.5,5.0,4.8,5.0,4.6
A013,ABL-T03__anthropic__1,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",anthropic,claude-fable-5-1,1,Onboarding Documentation and Acceptable Use Specification for New Services,"As a service provider, I want process documentation and specifications for joining the system, so that I can integrate my service in accordance with the defined requirements.","[""Provide process documentation for onboarding a new service to the system."", ""Provide specifications that a new service must satisfy to join the system."", ""Provide a list of acceptable actions for services participating in the system."", ""State any restrictions applicable to services, such as limits on data usage, bandwidth, or number of API queries.""]",True,5,5,5,5,5,5,5,5,4,5,5.0,5.0,5.0,4.5,5.0,4.9,5.0,4.8
A014,ABL-F01__openai__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",openai,gpt-5.6-terra,1,Service-Specific Data Processing Choices,"As a passenger, I want to understand the data processing required for services I am considering so that I can assess its implications before choosing whether to use them.","[""Provide a control that identifies the data processing activities necessary for each basic or added-value service the passenger is considering."", ""Allow the passenger to opt in to or out of a service based on the identified data processing."", ""Process data selected by the passenger for rights execution according to the selected action, such as anonymisation, deletion, or making the data available for transfer to another service or download.""]",True,5,5,5,5,5,5,5,4,3,5,5.0,5.0,4.5,4.0,5.0,4.7,5.0,4.4
A015,ABL-J02__openai__3,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,openai,gpt-5.6-terra,3,Support for Users with Special Needs,"As a user with special needs, I want my required assistance to be communicated to the terminal service provider and my special-needs aids to be trackable within the terminal, so that I can receive the support and locate the aids I require.","[""The system shall identify users with special needs."", ""The system shall provide a feature to inform the terminal service provider of the help required by a user with special needs."", ""The system shall be available to track special-needs aids within the terminal.""]",True,5,5,5,5,5,5,5,5,4,5,5.0,5.0,5.0,4.5,5.0,4.9,5.0,4.8
