run_id,requirement_id,principle,source_row,requirement,backend,model,repetition,started_at,elapsed_seconds,title,description,work_items,checks_passed,structure_issues,redundancy_issues,api_response_ids,saved_run_path
ABL-P03__openai__3,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",openai,gpt-5.6-terra,3,2026-09-14T18:20:46.376825+00:00,5.042,Safe and Bounded Smart-Vehicle Interaction,"As a terminal user, I want interactions with smart vehicles to maintain the safety of both the terminal and the vehicle, so that neither party is put at risk during information exchange.","[""When the terminal interacts with a smart vehicle, the interaction must not compromise the safety of either the terminal or the vehicle."", ""The system must define clear limits on the data shared between the terminal and smart vehicles."", ""The system must define clear permissions governing information exchange between the terminal and smart vehicles.""]",True,[],[],"[""resp_01ecd62f6b634d51006aa83b00730887d280bf86666c7e6c61""]",outputs/backend_runs/20260914T182051Z_ABL-P03_openai_gpt-5_6-terra_r3.json
ABL-T02__google__1,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,google,gemini-3.8-flash,1,2026-09-14T18:20:51.457610+00:00,10.583,Data Statements and Opt-Out Transparency,"As a user, I want data statements and information regarding optional and mandatory services, so that I can distinguish optional features from non-optional functions and understand my opt-out options.","[""Make data statements available to users."", ""Provide descriptions of which services are optional and how to opt out of them."", ""Provide descriptions of which parts of the system are used by harbor officials and cannot be opted out of.""]",True,[],[],"[""v1_ChdERHVvYXB5SkVkXzR2ZElQdDQ2cW9BURIXRER1b2FweUpFZF80dmRJUHQ0NnFvQVE""]",outputs/backend_runs/20260914T182102Z_ABL-T02_google_gemini-3_8-flash_r1.json
ABL-P01__google__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,3,2026-09-14T18:21:02.041458+00:00,6.790,Player Identity Protection,"As a player, I want the system to restrict access to information that could reveal another player's identity, so that players cannot identify one another.","[""Prevent players from accessing any information that might reveal the identity of another player.""]",True,[],[],"[""v1_ChdFenVvYW9XaURzZjV4TjhQbVpLajRBaxIXRXp1b2FvV2lEc2Y1eE44UG1aS2o0QWs""]",outputs/backend_runs/20260914T182108Z_ABL-P01_google_gemini-3_8-flash_r3.json
ABL-J01__openai__1,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",openai,gpt-5.6-terra,1,2026-09-14T18:21:08.831673+00:00,3.224,Data Quality and Group Variance Testing,"As a user, I want the data to be tested across race, gender, and age groups before launch, so that I can assess whether outcomes vary significantly between groups.","[""Test data quality across race, gender, and age groups."", ""Ensure that variance between the tested groups is not significant."", ""Conduct real-time testing in the real-world context before launch.""]",True,[],[],"[""resp_06c9f09af7506935006aa83b150ec887d2b4f5555f3a0a3636""]",outputs/backend_runs/20260914T182112Z_ABL-J01_openai_gpt-5_6-terra_r1.json
ABL-F01__google__2,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",google,gemini-3.8-flash,2,2026-09-14T18:21:12.056763+00:00,5.518,"Service Data Transparency, Consent, and Data Rights Execution","As a passenger, I want to identify which data processing activities are required for each service and manage my participation and data rights, so that I can decide which services to use based on their data practices.","[""Identify and display which data processing activities are necessary for each basic or value-added service the passenger is considering."", ""Allow the passenger to opt in to or opt out of a service based on the data processed for that service."", ""Process data selected by the passenger for rights execution according to the chosen action, including anonymization, deletion, or providing data for download or transfer to another service.""]",True,[],[],"[""v1_ChZIRHVvYXBscV9ZZkUzdy1ydDk2b0NnEhZIRHVvYXBscV9ZZkUzdy1ydDk2b0Nn""]",outputs/backend_runs/20260914T182117Z_ABL-F01_google_gemini-3_8-flash_r2.json
ABL-P02__anthropic__2,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,anthropic,claude-fable-5-1,2,2026-09-14T18:21:17.575463+00:00,7.067,Security of Registered User Information and Transactions,"As a registered user, I want the website to secure my transactions and sensitive information, so that my identity and personal data are protected from unauthorized access and disclosure.","[""The website shall provide the highest degree of security to registered users."", ""All transactions made through the website shall be secured."", ""Sensitive information transmitted to and from the website shall be secured."", ""Identity theft and other security-related issues shall be addressed."", ""Unauthorized transmission of users' sensitive information to third-party websites shall be prevented."", ""User information shall be processed only on the basis of the user agreement."", ""All information about registered users shall be securely stored in the central database.""]",True,[],[],"[""msg_011Cf3o7UTeirXso3AoJUgby""]",outputs/backend_runs/20260914T182124Z_ABL-P02_anthropic_claude-fable-5-1_r2.json
ABL-T01__anthropic__1,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,anthropic,claude-fable-5-1,1,2026-09-14T18:21:24.643187+00:00,9.551,Communication of Data Information Policy and GDPR Request Handling,"As a user, I want the data information policy to be communicated on the service app/web page, so that I can consult it directly where I use the service.","[""The data information policy is communicated on the service app/web page."", ""Procedures are in place for GDPR compliance."", ""Required steps are planned for handling exceptional situations such as a large volume of user data requests."", ""Where handling of data requests results in redirection of resources or waiting times, this is clearly communicated to users.""]",True,[],[],"[""msg_011Cf3o7y5axjMn9ikkKXn6S""]",outputs/backend_runs/20260914T182134Z_ABL-T01_anthropic_claude-fable-5-1_r1.json
ABL-F03__google__1,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,google,gemini-3.8-flash,1,2026-09-14T18:21:34.194694+00:00,14.659,Session Inactivity Duration and Unrestricted Access Hours,"As a registered user, I want my session information preserved during inactive periods and all e-store options available whenever I log in, so that I can complete activities without premature session termination or time-dependent feature restrictions.","[""Maintain registered user session information for at least 60 minutes of inactivity before prompting the user to log out."", ""Provide registered users with access to all e-store options regardless of what time they log in.""]",True,[],[],"[""v1_ChdPanVvYXUtREFyanl2ZElQNGFXNW1BZxIXT2p1b2F1LURBcmp5dmRJUDRhVzVtQWc""]",outputs/backend_runs/20260914T182148Z_ABL-F03_google_gemini-3_8-flash_r1.json
ABL-T02__openai__1,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,openai,gpt-5.6-terra,1,2026-09-14T18:21:48.854283+00:00,5.301,Data Statements and Opt-Out Information,"As a user, I want data statements and clear descriptions of optional services and opt-out options, so that I can understand which services I may decline and which system functions are mandatory.","[""Make data statements available."", ""Describe which services are optional."", ""Describe how to opt out of optional services."", ""Describe which parts of the system are used by harbor officials and cannot be opted out of.""]",True,[],[],"[""resp_037b5e2c16fbc6ba006aa83b3d5f4c87d2aaa8b1a3b6689fcf""]",outputs/backend_runs/20260914T182154Z_ABL-T02_openai_gpt-5_6-terra_r1.json
ABL-T01__anthropic__3,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,anthropic,claude-fable-5-1,3,2026-09-14T18:21:54.155859+00:00,8.675,Communication of Data Information Policy and GDPR Procedures,"As a user, I want the service's data information policy to be communicated on the app or web page, so that I can review how the service handles data.","[""The data information policy is communicated on the service app or web page."", ""Procedures are in place for GDPR compliance."", ""Required steps are planned for handling exceptional situations such as a large volume of user data requests, for example redirection of resources."", ""Consequences for users, such as redirection of resources or waiting times, are clearly communicated.""]",True,[],[],"[""msg_011Cf3oA8wyWYfHmpYC7BbJw""]",outputs/backend_runs/20260914T182202Z_ABL-T01_anthropic_claude-fable-5-1_r3.json
