ID,Split,Principle,Source Row,Requirement,Target Principle Score,Transparency,Privacy,Freedom & Autonomy,Justice & Equity,Selection Rationale
ABL-T01,Comparison,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,4,4,3,1,1,"Higher-complexity transparency requirement with multiple obligations, GDPR context, high-volume request handling, and illustrative examples."
ABL-T02,Comparison,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,4,4,3,1,0,"Higher-complexity transparency requirement combining disclosure, optional services, opt-out behavior, and non-optional system use."
ABL-T03,Comparison,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",4,4,1,0,0,Higher-complexity transparency requirement with multiple documentation obligations and illustrative examples that should not be strengthened into exhaustive requirements.
ABL-P01,Comparison,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,4,0,4,0,0,Retained semantic-faithfulness challenge involving the protected party and direction of identity disclosure.
ABL-P02,Comparison,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,4,0,4,0,0,"Higher-complexity privacy requirement containing multiple security, consent, third-party disclosure, transmission, and storage obligations."
ABL-P03,Comparison,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",4,2,4,1,0,"Higher-complexity privacy requirement with a conditional context, safety constraint, data-sharing limits, and permission boundaries."
ABL-F01,Comparison,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",4,0,1,4,0,"Higher-complexity autonomy requirement combining service-level processing transparency, opt-in/opt-out choice, rights execution, and non-exhaustive examples."
ABL-F02,Comparison,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,4,1,0,4,3,"Autonomy requirement with multiple obligations involving availability, language scope, and explicit user choice, with cross-cutting equity implications."
ABL-F03,Comparison,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,4,0,1,4,1,"Autonomy requirement with two distinct user-control obligations, a quantitative inactivity constraint, and an unconditional availability condition."
ABL-J01,Comparison,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",4,1,0,0,4,"Higher-complexity justice requirement involving protected groups, acceptable variance, data-quality testing, and real-context pre-launch evaluation."
ABL-J02,Comparison,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,4,0,0,0,4,"Higher-complexity equity requirement with multiple accessibility obligations involving identification of support needs, provider notification, and aid tracking."
ABL-J03,Comparison,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,4,1,0,0,4,Higher-complexity equity requirement combining culturally inclusive design with a separate engagement-oriented interface obligation.
