ID,Split,Principle,Source Row,Requirement,Target Principle Score,Transparency,Privacy,Freedom & Autonomy,Justice & Equity,Selection Rationale
DEV-T01,Development,Transparency,979,"The system is transparent in its functioning and marks possible ""uncertain"" situations with timestamps or other identifying information",4,4,0,0,2,Includes deliberately challenging or cross-cutting cases
DEV-T02,Development,Transparency,1023,When asked system documentation need to have description on what kind of data and from where was used to teach the system. Data set with out clear description should not be used.,4,4,2,0,3,Includes deliberately challenging or cross-cutting cases
DEV-P01,Development,Privacy,983,The data storing and collecting follows the GDPR regulations and identifying data is anonymized or destroyed within the legal time frame.,4,1,4,1,0,Reserved for prompt/workflow tuning; includes deliberately challenging or cross-cutting cases.
DEV-P02,Development,Privacy,1084,The system is designed and architecture is planned privacy and data protections auditability in mind. Clear documentation on how API and services joining the SMART terminal system will affect the privacy and data Protection.,4,3,4,0,0,Includes deliberately challenging or cross-cutting cases
DEV-F01,Development,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",4,0,1,4,0,Includes deliberately challenging or cross-cutting cases
DEV-F02,Development,Freedom & Autonomy,674,Enable a registered user to change his password if he forgets his password.,4,0,3,4,0,Includes deliberately challenging or cross-cutting cases
DEV-J01,Development,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,4,0,0,0,4,Includes deliberately challenging or cross-cutting cases
DEV-J02,Development,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,4,1,0,0,4,Includes deliberately challenging or cross-cutting cases
ABL-T01,Ablation,Transparency,252,The audit report shall be displayed to the user.,4,4,0,0,0,Selected for strong principle labeling and clear semantics
ABL-T02,Ablation,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,4,4,0,0,0,Selected for strong principle labeling and clear semantics
ABL-T03,Ablation,Transparency,1044,Documentation and logs of data sources for Traceability.,4,4,1,0,0,Selected for strong principle labeling and clear semantics
ABL-P01,Ablation,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,4,0,4,0,0,Selected for strong principle labeling and clear semantics
ABL-P02,Ablation,Privacy,700,The user must be able to set an option to hide information based on who has tagged it.,4,0,4,1,0,Selected for strong principle labeling and clear semantics
ABL-P03,Ablation,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,4,0,4,0,0,Selected for strong principle labeling and clear semantics
ABL-F01,Ablation,Freedom & Autonomy,824,The system shall allow the user to change the password.,4,0,1,4,0,Selected for strong principle labeling and clear semantics
ABL-F02,Ablation,Freedom & Autonomy,858,The system shall allow user to update the profile information.,4,0,1,4,0,Selected for strong principle labeling and clear semantics
ABL-F03,Ablation,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,4,0,1,4,0,Selected for strong principle labeling and clear semantics
ABL-J01,Ablation,Justice & Equity,970,The system shall provide multi language support.,4,0,0,1,4,Selected for strong principle labeling and clear semantics
ABL-J02,Ablation,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,4,1,0,0,4,Held out for formal component evaluation; selected for strong principle labeling and clear semantics.
ABL-J03,Ablation,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,4,2,0,0,4,Selected for strong principle labeling and clear semantics
HUM-T01,Human Study,Transparency,1024,In service critical or human relating features only explainable AI/ML solutions are used. When requested the system can provide reasoning behind given result.,4,4,0,0,0,Selected for self-contained wording and manageable task scope
HUM-T02,Human Study,Transparency,1027,A detailed document explaining the extent of the system's data use should be prepared and available to customers upon request.,4,4,2,0,1,Selected for self-contained wording and manageable task scope
HUM-T03,Human Study,Transparency,1015,System should create explicit action log of its actions. The logs should be accessible for Designated personnel and understandable or reliably interpretable for government or other officials who require the logs for a legitimate reason.,4,4,1,0,1,Selected for self-contained wording and manageable task scope
HUM-T04,Human Study,Transparency,955,The system shall notify customers of changes to its information policy.,4,4,1,0,0,Selected for self-contained wording and manageable task scope
HUM-P01,Human Study,Privacy,944,Only authorized users shall have access to students' personal information.,4,0,4,0,0,Selected for self-contained wording and manageable task scope
HUM-P02,Human Study,Privacy,968,All network transactions that involve financial information or personally identifiable information shall be encrypted.,4,0,4,0,0,Selected for self-contained wording and manageable task scope
HUM-P03,Human Study,Privacy,981,The data tied to a person can be found and is eraseable in the system upon request.,4,3,4,3,1,Selected for self-contained wording and manageable task scope
HUM-P04,Human Study,Privacy,382,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,4,0,4,0,0,Selected for self-contained wording and manageable task scope
HUM-F01,Human Study,Freedom & Autonomy,481,The product shall allow a user to remove himself or herself from the list of players at any time.,4,0,3,4,0,Selected for self-contained wording and manageable task scope
HUM-F02,Human Study,Freedom & Autonomy,706,It must allow a user to download a backup of their medical information.,4,3,1,4,0,Selected for self-contained wording and manageable task scope
HUM-F03,Human Study,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,4,1,0,4,3,Selected for self-contained wording and manageable task scope
HUM-F04,Human Study,Freedom & Autonomy,1025,"When prompted by passengers, the system should be able to provide information requested, eg customer asking for summary on a trip should be able to get one from the system.",4,3,0,4,0,Selected for self-contained wording and manageable task scope
HUM-J01,Human Study,Justice & Equity,1005,AI integrated into the system that can help identify data patterns for users with special needs and provide necessary information.,4,0,0,1,4,Selected for self-contained wording and manageable task scope
HUM-J02,Human Study,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",4,1,0,0,4,Selected for self-contained wording and manageable task scope
HUM-J03,Human Study,Justice & Equity,902,The system shall provide handicap access.,3,0,0,0,3,Selected for self-contained wording and manageable task scope
HUM-J04,Human Study,Justice & Equity,1074,Smart terminal system is tested from passenger point of view. Versatile scenarios and users are tested. Viewpoint of children is also covered.,3,0,0,0,3,Selected for self-contained wording and manageable task scope
