run_id,requirement_id,principle,source_row,requirement,backend,model,repetition
ABL-T01__openai__1,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,openai,gpt-5.6-terra,1
ABL-T01__openai__2,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,openai,gpt-5.6-terra,2
ABL-T01__openai__3,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,openai,gpt-5.6-terra,3
ABL-T01__anthropic__1,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,anthropic,claude-fable-5-1,1
ABL-T01__anthropic__2,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,anthropic,claude-fable-5-1,2
ABL-T01__anthropic__3,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,anthropic,claude-fable-5-1,3
ABL-T01__google__1,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,google,gemini-3.8-flash,1
ABL-T01__google__2,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,google,gemini-3.8-flash,2
ABL-T01__google__3,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,google,gemini-3.8-flash,3
ABL-T02__openai__1,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,openai,gpt-5.6-terra,1
ABL-T02__openai__2,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,openai,gpt-5.6-terra,2
ABL-T02__openai__3,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,openai,gpt-5.6-terra,3
ABL-T02__anthropic__1,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,anthropic,claude-fable-5-1,1
ABL-T02__anthropic__2,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,anthropic,claude-fable-5-1,2
ABL-T02__anthropic__3,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,anthropic,claude-fable-5-1,3
ABL-T02__google__1,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,google,gemini-3.8-flash,1
ABL-T02__google__2,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,google,gemini-3.8-flash,2
ABL-T02__google__3,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,google,gemini-3.8-flash,3
ABL-T03__openai__1,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",openai,gpt-5.6-terra,1
ABL-T03__openai__2,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",openai,gpt-5.6-terra,2
ABL-T03__openai__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",openai,gpt-5.6-terra,3
ABL-T03__anthropic__1,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",anthropic,claude-fable-5-1,1
ABL-T03__anthropic__2,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",anthropic,claude-fable-5-1,2
