ID,Split,Principle,Source Row,Requirement,Target Principle Score,Transparency,Privacy,Freedom & Autonomy,Justice & Equity,Selection Rationale
HUM-T01,Human Study,Transparency,1024,In service critical or human relating features only explainable AI/ML solutions are used. When requested the system can provide reasoning behind given result.,4,4,0,0,0,Selected for self-contained wording and manageable task scope
HUM-T02,Human Study,Transparency,1027,A detailed document explaining the extent of the system's data use should be prepared and available to customers upon request.,4,4,2,0,1,Selected for self-contained wording and manageable task scope
HUM-T03,Human Study,Transparency,1015,System should create explicit action log of its actions. The logs should be accessible for Designated personnel and understandable or reliably interpretable for government or other officials who require the logs for a legitimate reason.,4,4,1,0,1,Selected for self-contained wording and manageable task scope
HUM-T04,Human Study,Transparency,955,The system shall notify customers of changes to its information policy.,4,4,1,0,0,Selected for self-contained wording and manageable task scope
HUM-P01,Human Study,Privacy,944,Only authorized users shall have access to students' personal information.,4,0,4,0,0,Selected for self-contained wording and manageable task scope
HUM-P02,Human Study,Privacy,968,All network transactions that involve financial information or personally identifiable information shall be encrypted.,4,0,4,0,0,Selected for self-contained wording and manageable task scope
HUM-P03,Human Study,Privacy,981,The data tied to a person can be found and is eraseable in the system upon request.,4,3,4,3,1,Selected for self-contained wording and manageable task scope
HUM-P04,Human Study,Privacy,382,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,4,0,4,0,0,Selected for self-contained wording and manageable task scope
HUM-F01,Human Study,Freedom & Autonomy,481,The product shall allow a user to remove himself or herself from the list of players at any time.,4,0,3,4,0,Selected for self-contained wording and manageable task scope
HUM-F02,Human Study,Freedom & Autonomy,706,It must allow a user to download a backup of their medical information.,4,3,1,4,0,Selected for self-contained wording and manageable task scope
HUM-F03,Human Study,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,4,1,0,4,3,Selected for self-contained wording and manageable task scope
HUM-F04,Human Study,Freedom & Autonomy,1025,"When prompted by passengers, the system should be able to provide information requested, eg customer asking for summary on a trip should be able to get one from the system.",4,3,0,4,0,Selected for self-contained wording and manageable task scope
HUM-J01,Human Study,Justice & Equity,1005,AI integrated into the system that can help identify data patterns for users with special needs and provide necessary information.,4,0,0,1,4,Selected for self-contained wording and manageable task scope
HUM-J02,Human Study,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",4,1,0,0,4,Selected for self-contained wording and manageable task scope
HUM-J03,Human Study,Justice & Equity,902,The system shall provide handicap access.,3,0,0,0,3,Selected for self-contained wording and manageable task scope
HUM-J04,Human Study,Justice & Equity,1074,Smart terminal system is tested from passenger point of view. Versatile scenarios and users are tested. Viewpoint of children is also covered.,3,0,0,0,3,Selected for self-contained wording and manageable task scope
